Title,Artist,Year,Rank
Controlla,Drake,2016,41
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016,42
One Call Away,Charlie Puth,2016,43
Let It Go,James Bay,2016,44
No,Meghan Trainor,2016,45
Never Forget You,Zara Larsson & MNEK,2016,46
Let Me Love You,DJ Snake Featuring Justin Bieber,2016,47
Don't Mind,Kent Jones,2016,48
H.O.L.Y.,Florida Georgia Line,2016,49
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016,50
Happy,Pharrell Williams,2014,1
Dark Horse,Katy Perry Featuring Juicy J,2014,2
All Of Me,John Legend,2014,3
Fancy,Iggy Azalea Featuring Charli XCX,2014,4
Counting Stars,OneRepublic,2014,5
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,6
Rude,MAGIC!,2014,7
All About That Bass,Meghan Trainor,2014,8
Problem,Ariana Grande Featuring Iggy Azalea,2014,9
Stay With Me,Sam Smith,2014,10
Timber,Pitbull Featuring Ke$ha,2014,11
Pompeii,Bastille,2014,12
Shake It Off,Taylor Swift,2014,13
Am I Wrong,Nico & Vinz,2014,14
Turn Down For What,DJ Snake & Lil Jon,2014,15
The Monster,Eminem Featuring Rihanna,2014,16
Say Something,A Great Big World & Christina Aguilera,2014,17
Team,Lorde,2014,18
Let Her Go,Passenger,2014,19
Royals,Lorde,2014,20
Let It Go,Idina Menzel,2014,21
Wake Me Up!,Avicii,2014,22
Demons,Imagine Dragons,2014,23
Story Of My Life,One Direction,2014,24
Chandelier,Sia,2014,25
Black Widow,Iggy Azalea Featuring Rita Ora,2014,26
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,27
Latch,Disclosure Featuring Sam Smith,2014,28
Maps,Maroon 5,2014,29
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014,30
Best Day Of My Life,American Authors,2014,31
Habits (Stay High),Tove Lo,2014,32
Summer,Calvin Harris,2014,33
Boom Clap,Charli XCX,2014,34
Drunk In Love,Beyonce Featuring Jay Z,2014,35
Anaconda,Nicki Minaj,2014,36
Break Free,Ariana Grande Featuring Zedd,2014,37
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014,38
Burn,Ellie Goulding,2014,39
Wiggle,Jason Derulo Featuring Snoop Dogg,2014,40
Rather Be,Clean Bandit Featuring Jess Glynne,2014,41
Don't Tell 'Em,Jeremih Featuring YG,2014,42
Show Me,Kid Ink Featuring Chris Brown,2014,43
Wrecking Ball,Miley Cyrus,2014,44
Not A Bad Thing,Justin Timberlake,2014,45
Roar,Katy Perry,2014,46
Ain't It Fun,Paramore,2014,47
The Man,Aloe Blacc,2014,48
This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,49
Classic,MKTO,2014,50
Somebody That I Used To Know,Gotye Featuring Kimbra,2012,1
Call Me Maybe,Carly Rae Jepsen,2012,2
We Are Young,fun. Featuring Janelle Monae,2012,3
Payphone,Maroon 5 Featuring Wiz Khalifa,2012,4
Lights,Ellie Goulding,2012,5
Glad You Came,The Wanted,2012,6
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,7
We Found Love,Rihanna Featuring Calvin Harris,2012,8
Starships,Nicki Minaj,2012,9
What Makes You Beautiful,One Direction,2012,10
Wild Ones,Flo Rida Featuring Sia,2012,11
Set Fire To The Rain,Adele,2012,12
Sexy And I Know It,LMFAO,2012,13
Some Nights,fun.,2012,14
Wide Awake,Katy Perry,2012,15
Good Feeling,Flo Rida,2012,16
Whistle,Flo Rida,2012,17
One More Night,Maroon 5,2012,18
Drive By,Train,2012,19
The Motto,Drake Featuring Lil Wayne,2012,20
Where Have You Been,Rihanna,2012,21
Everybody Talks,Neon Trees,2012,22
Take Care,Drake Featuring Rihanna,2012,23
Titanium,David Guetta Featuring Sia,2012,24
I Won't Give Up,Jason Mraz,2012,25
It Will Rain,Bruno Mars,2012,26
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,27
Boyfriend,Justin Bieber,2012,28
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012,29
Too Close,Alex Clare,2012,30
Part Of Me,Katy Perry,2012,31
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,32
We Are Never Ever Getting Back Together,Taylor Swift,2012,33
As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,34
Turn Me On,David Guetta Featuring Nicki Minaj,2012,35
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,36
Blow Me (One Last Kiss),P!nk,2012,37
Good Time,Owl City & Carly Rae Jepsen,2012,38
Give Your Heart A Break,Demi Lovato,2012,39
Ni**as in Paris,Jay Z Kanye West,2012,40
The One That Got Away,Katy Perry,2012,41
Feel So Close,Calvin Harris,2012,42
Someone Like You,Adele,2012,43
Scream,Usher,2012,44
Rack City,Tyga,2012,45
Domino,Jessie J,2012,46
Gangnam Style,PSY,2012,47
International Love,Pitbull Featuring Chris Brown,2012,48
Home,Phillip Phillips,2012,49
Without You,David Guetta Featuring Usher,2012,50
TiK ToK,Ke$ha,2010,1
Need You Now,Lady Antebellum,2010,2
"Hey, Soul Sister",Train,2010,3
California Gurls,Katy Perry Featuring Snoop Dogg,2010,4
OMG,Usher Featuring will.i.am,2010,5
Airplanes,B.o.B Featuring Hayley Williams,2010,6
Love The Way You Lie,Eminem Featuring Rihanna,2010,7
Bad Romance,Lady Gaga,2010,8
Dynamite,Taio Cruz,2010,9
Break Your Heart,Taio Cruz Featuring Ludacris,2010,10
Nothin' On You,B.o.B Featuring Bruno Mars,2010,11
I Like It,Enrique Iglesias Featuring Pitbull,2010,12
BedRock,Young Money Featuring Lloyd,2010,13
In My Head,Jason Derulo,2010,14
Rude Boy,Rihanna,2010,15
Telephone,Lady Gaga Featuring Beyonce,2010,16
Teenage Dream,Katy Perry,2010,17
Just The Way You Are,Bruno Mars,2010,18
Cooler Than Me,Mike Posner,2010,19
Imma Be,The Black Eyed Peas,2010,20
Empire State Of Mind,Jay-Z + Alicia Keys,2010,21
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010,22
Billionaire,Travie McCoy Featuring Bruno Mars,2010,23
Not Afraid,Eminem,2010,24
Replay,Iyaz,2010,25
Sexy Chick,David Guetta Featuring Akon,2010,26
Breakeven,The Script,2010,27
Your Love Is My Drug,Ke$ha,2010,28
I Gotta Feeling,The Black Eyed Peas,2010,29
Fireflies,Owl City,2010,30
Say Aah,Trey Songz Featuring Fabolous,2010,31
Find Your Love,Drake,2010,32
Alejandro,Lady Gaga,2010,33
Ridin' Solo,Jason Derulo,2010,34
Just A Dream,Nelly,2010,35
How Low,Ludacris,2010,36
Like A G6,Far*East Movement Featuring Cataracs & Dev,2010,37
Carry Out,Timbaland Featuring Justin Timberlake,2010,38
Haven't Met You Yet,Michael Buble,2010,39
Club Can't Handle Me,Flo Rida Featuring David Guetta,2010,40
Down,Jay Sean Featuring Lil Wayne,2010,41
Bulletproof,La Roux,2010,42
Whatcha Say,Jason Derulo,2010,43
Baby,Justin Bieber Featuring Ludacris,2010,44
Whataya Want From Me,Adam Lambert,2010,45
Mine,Taylor Swift,2010,46
Only Girl (In The World),Rihanna,2010,47
Live Like We're Dying,Kris Allen,2010,48
Hard,Rihanna Featuring Jeezy,2010,49
Young Forever,Jay-Z + Mr. Hudson,2010,50
Low,Flo Rida Featuring T-Pain,2008,1
Bleeding Love,Leona Lewis,2008,2
No One,Alicia Keys,2008,3
Lollipop,Lil Wayne Featuring Static Major,2008,4
Apologize,Timbaland Featuring OneRepublic,2008,5
No Air,Jordin Sparks Duet With Chris Brown,2008,6
Love Song,Sara Bareilles,2008,7
Love In This Club,Usher Featuring Young Jeezy,2008,8
With You,Chris Brown,2008,9
Forever,Chris Brown,2008,10
Sexy Can I,Ray J & Yung Berg,2008,11
Take A Bow,Rihanna,2008,12
Viva La Vida,Coldplay,2008,13
I Kissed A Girl,Katy Perry,2008,14
Whatever You Like,T.I.,2008,15
Disturbia,Rihanna,2008,16
Don't Stop The Music,Rihanna,2008,17
Pocketful Of Sunshine,Natasha Bedingfield,2008,18
Kiss Kiss,Chris Brown Featuring T-Pain,2008,19
Closer,Ne-Yo,2008,20
Bubbly,Colbie Caillat,2008,21
Touch My Body,Mariah Carey,2008,22
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,23
So What,P!nk,2008,24
Paralyzer,Finger Eleven,2008,25
Clumsy,Fergie,2008,26
I'm Yours,Jason Mraz,2008,27
Leavin',Jesse McCartney,2008,28
Dangerous,Kardinal Offishall Featuring Akon,2008,29
Tattoo,Jordin Sparks,2008,30
See You Again,Miley Cyrus,2008,31
Shake It,Metro Station,2008,32
Stop And Stare,OneRepublic,2008,33
Take You There,Sean Kingston,2008,34
Paper Planes,M.I.A.,2008,35
Hot N Cold,Katy Perry,2008,36
Live Your Life,T.I. Featuring Rihanna,2008,37
Bust It Baby Part 2,Plies Featuring Ne-Yo,2008,38
American Boy,Estelle Featuring Kanye West,2008,39
Got Money,Lil Wayne Featuring T-Pain,2008,40
Our Song,Taylor Swift,2008,41
Damaged,Danity Kane,2008,42
A Milli,Lil Wayne,2008,43
Sorry,Buckcherry,2008,44
Independent,Webbie Featuring Lil' Phat & Lil' Boosie,2008,45
Can't Believe It,T-Pain Featuring Lil Wayne,2008,46
Like You'll Never See Me Again,Alicia Keys,2008,47
Teardrops On My Guitar,Taylor Swift,2008,48
When I Grow Up,The Pussycat Dolls,2008,49
Sensual Seduction,Snoop Dogg,2008,50
Bad Day,Daniel Powter,2006,1
Temperature,Sean Paul,2006,2
Promiscuous,Nelly Furtado Featuring Timbaland,2006,3
You're Beautiful,James Blunt,2006,4
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,5
Unwritten,Natasha Bedingfield,2006,6
Crazy,Gnarls Barkley,2006,7
Ridin',Chamillionaire Featuring Krayzie Bone,2006,8
SexyBack,Justin Timberlake,2006,9
Check On It,Beyonce Featuring Slim Thug,2006,10
Be Without You,Mary J. Blige,2006,11
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,12
Over My Head (Cable Car),The Fray,2006,13
Me & U,Cassie,2006,14
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,15
Run It!,Chris Brown,2006,16
So Sick,Ne-Yo,2006,17
It's Goin' Down,Yung Joc,2006,18
SOS,Rihanna,2006,19
I Write Sins Not Tragedies,Panic! At The Disco,2006,20
Move Along,The All-American Rejects,2006,21
London Bridge,Fergie,2006,22
Dani California,Red Hot Chili Peppers,2006,23
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,24
"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,25
What Hurts The Most,Rascal Flatts,2006,26
How To Save A Life,The Fray,2006,27
Unfaithful,Rihanna,2006,28
Chasing Cars,Snow Patrol,2006,29
Lips Of An Angel,Hinder,2006,30
Everytime We Touch,Cascada,2006,31
Ain't No Other Man,Christina Aguilera,2006,32
"Dance, Dance",Fall Out Boy,2006,33
Gold Digger,Kanye West Featuring Jamie Foxx,2006,34
Money Maker,Ludacris Featuring Pharrell,2006,35
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006,36
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,37
Photograph,Nickelback,2006,38
Because Of You,Kelly Clarkson,2006,39
Stickwitu,The Pussycat Dolls,2006,40
I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,41
My Humps,The Black Eyed Peas,2006,42
Where'd You Go,Fort Minor Featuring Holly Brook,2006,43
Yo (Excuse Me Miss),Chris Brown,2006,44
Walk Away,Kelly Clarkson,2006,45
Laffy Taffy,D4L,2006,46
What You Know,T.I.,2006,47
Dirty Little Secret,The All-American Rejects,2006,48
Savin' Me,Nickelback,2006,49
Don't Forget About Us,Mariah Carey,2006,50
